"Nome Árbitro","Apelido","Estreia","Idade na estreia","Temporadas"," Jogos","Cartões Amarelos","Expulsões (Dois Amarelos)"","Expulsões (Vermelho Direto)","Pênaltis Marcados","Estado"
Wagner Reway,Wagner Reway,08/08/2009,28 anos 02 meses 25 dias,12,"99","493",17,"30","23",
Evandro Rogerio Roman,Evandro Rogerio Roman,14/12/2003,,9,"96","422",20,"39","22",PR
Savio Pereira Sampaio,Savio Pereira Sampaio,07/09/2016,,8,"93","433",7,"14","23",
Jean Pierre Goncalves Lima,Jean Pierre Goncalves Lima,31/08/2011,,12,"91","346",7,"8","24",
Carlos Eugênio Simon,Carlos Eugênio Simon,02/12/2001,36 anos 02 meses 29 dias,7,"87","344",6,"10","20",
Rodolpho Toski Marques,Rodolpho Toski Marques,05/06/2015,,8,"86","439",8,"9","21",
Salvio Fagundes Filho,Salvio Fagundes Filho,15/04/2006,37 anos 07 meses 01 dias,6,"85","404",13,"16","9",
Ramon Abatti,Ramon Abatti,13/09/2020,30 anos 11 meses 26 dias,5,"85","380",6,"15","21",
Leonardo Gaciba da Silva,Leonardo Gaciba da Silva,21/04/2004,32 anos 09 meses 26 dias,5,"81","355",11,"15","30",
Alício Pena Junior,Alício Pena Junior,01/08/2001,33 anos 06 meses 00 dias,9,"81","499",15,"26","12",
Franscisco Carlos do Nascimento,Franscisco Carlos do Nascimento,07/06/2009,31 anos 07 meses 29 dias,8,"78","412",24,"13","22",
Rafael Traci,Rafael Traci,29/05/2016,,6,"76","380",5,"11","21",
Marcelo Aparecido Ribeiro de Souza,Marcelo Aparecido Ribeiro de Souza,26/05/2010,,9,"74","411",21,"13","16",
Caio Max Augusto Vieira,Caio Max Augusto Vieira,14/08/2016,,9,"73","331",10,"6","21",
Paulo Roberto Alves Júnior,Paulo Roberto Alves Júnior,08/06/2015,32 anos 03 meses 01 dias,7,"71","312",8,"8","20",
Paulo Henrique de Godoy Bezerra,Paulo Henrique de Godoy Bezerra,16/04/2006,,8,"66","352",10,"17","9",SC
Marielson Alves Silva,Marielson Alves Silva,11/09/2014,,8,"57","256",6,"13","8",
Wagner Tardelli Azevedo,Wagner Tardelli Azevedo,16/05/2004,39 anos 10 meses 20 dias,5,"56","258",3,"7","12",
Pablo dos Santos Alves,Pablo dos Santos Alves,27/07/2008,,10,"52","307",6,"3","10",
Nielson Nogueira Dias,Nielson Nogueira Dias,31/05/2009,,8,"51","274",14,"6","26",
Igor Junior Benevenuto,Igor Junior Benevenuto,23/05/2014,,7,"50","279",8,"11","15",
Sergio da Silva Carvalho,Sergio da Silva Carvalho,04/08/2001,38 anos 03 meses 28 dias,4,"49","253",5,"12","8",
Vinicius Gonçalves Dias Araujo,Vinicius Gonçalves Dias Araujo,31/05/2015,36 anos 09 meses 08 dias,8,"48","207",7,"2","24",
Márcio Chagas da Silva,Márcio Chagas da Silva,28/10/2009,,5,"46","236",8,"1","6",
Djalma José Beltrami Teixeira,Djalma José Beltrami Teixeira,12/07/2006,40 anos 01 meses 27 dias,5,"45","202",7,"9","8",
Paulo Cesar Zanovelli,Paulo Cesar Zanovelli,06/06/2021,31 anos 04 meses 29 dias,4,"45","258",13,"7","9",
Edina Alves Batista,Edina Alves Batista,28/05/2019,,6,"42","172",4,"3","11",
Felipe Gomes da Silva,Felipe Gomes da Silva,22/07/2009,,8,"41","241",7,"7","6",
Felipe Fernandes,Felipe Fernandes,06/08/2019,,6,"40","216",3,"9","7",
Rodrigo D'Alonso Ferreira,Rodrigo D'Alonso Ferreira,31/08/2014,,6,"39","157",3,"1","10",
Cleber Wellington Abade,Cleber Wellington Abade,01/08/2001,,6,"36","170",5,"10","9",SP
Thiago Duarte Peixoto,Thiago Duarte Peixoto,29/05/2014,35 anos 02 meses 17 dias,6,"36","132",5,"5","7",
Gutemberg de Paula Fonseca,Gutemberg de Paula Fonseca," 24/06/2007",34 anos 11 meses 14 dias,5,"35","215",14,"8","9",RJ
Claudio Francisco Lima e Silva,Claudio Francisco Lima e Silva,12/09/2010,,8,"35","166",4,"3","9",
Wallace Nascimento Valente,Wallace Nascimento Valente,01/08/2001,,6,"33","157",5,"8","4",ES
Rodrigo Jose Pereira de Lima,Rodrigo Jose Pereira de Lima,10/11/2022,35 anos 07 meses 22 dias,3,"32","199",6,"7","9",
Guilherme Ceretta de Lima,Guilherme Ceretta de Lima,07/06/2008,,8,"31","131",7,"2","14",SP
Emerson de Almeida Ferreira,Emerson de Almeida Ferreira,31/08/2011,,8,"31","142",-,"0","0",
Wilson Souza de Mendonça,Wilson Souza de Mendonça,30/04/2006,41 anos 10 meses 12 dias,4,"29","101",1,"5","4",
Fabrício Neves Corrêa,Fabrício Neves Corrêa,19/06/2011,,4,"29","135",7,"6","13",
Celio Amorim,Celio Amorim,11/05/2008,29 anos 03 meses 03 dias,6,"28","166",8,"3","2",
Arilson Bispo da Anunciação,Arilson Bispo da Anunciação,16/07/2008,,7,"28","168",6,"2","11",
José Henrique de Carvalho,José Henrique de Carvalho,15/04/2006,,5,"27","190",7,"4","7",SP
Grazianni Maciel Rocha,Grazianni Maciel Rocha,09/09/2012,,7,"27","123",5,"2","6",
Rafael Rodrigo Klein,Rafael Rodrigo Klein,06/10/2022,32 anos 06 meses 08 dias,3,"27","162",1,"3","12",
Leandro Bizzio Marinho,Leandro Bizzio Marinho,21/07/2012,,4,"26","130",3,"1","11",
Jefferson Ferreira Moraes,Jefferson Ferreira Moraes,05/12/2019,32 anos 08 meses 00 dias,4,"26","118",3,"4","8",
Dyorgines Jose Padovani,Dyorgines Jose Padovani,25/06/2017,,7,"24","128",-,"0","0",
Cláudio Luciano Mercante Júnior,Cláudio Luciano Mercante Júnior,20/08/2006,,8,"23","132",5,"4","5",PE
Rodrigo Nunes de Sá,Rodrigo Nunes de Sá,09/05/2009,,8,"23","111",6,"1","6",
Giulliano Bozzano,Giulliano Bozzano,14/08/2002,,6,"21","104",5,"5","13",DF
Antonio Hora Filho,Antonio Hora Filho,15/07/2006,,6,"21","87",4,"5","1",SE
Flávio Rodrigues Guerra,Flávio Rodrigues Guerra,20/09/2009,,5,"21","118",3,"7","2",
Rodrigo Batista Raposo,Rodrigo Batista Raposo,02/12/2012,,6,"21","73",1,"2","8",
Clever Assunção Gonçalves/MG,Clever Assunção Gonçalves/MG,14/08/2002,,3,"20","80",2,"8","4",
